page	mean_confidence	chars	psm
1	25.1	2230	
2	25.1	3855	
3	27.2	3785	
4	31.2	2134	
5	95.0	0	
6	25.4	1978	
7	95.0	0	
8	95.0	0	
9	95.0	0	
