page	mean_confidence	chars	psm
1	80.7	1365	
2	88.6	1265	
3	37.7	1736	
4	87.6	1167	
5	94.8	741	
6	94.0	499	
7	72.9	1100	
8	87.2	1445	
9	93.2	1463	
