page	mean_confidence	chars	psm
1	90.8	2824	
2	89.4	1507	
3	85.4	2808	
4	89.3	2786	
5	93.8	2504	
6	86.8	2449	
7	89.0	2054	
8	91.1	2237	
9	93.1	2228	
10	89.1	2467	
11	83.6	2567	
12	87.7	2806	
13	88.7	1991	
14	45.1	159	
15	86.0	2478	
16	89.3	2094	
17	86.7	2572	
18	90.4	2491	
19	91.0	1997	
20	88.3	2422	
21	90.0	2600	
22	90.0	2627	
23	88.5	2800	
24	85.4	2109	
25	89.5	2674	
26	92.2	2639	
27	92.0	3049	
28	91.9	1659	
