page	mean_confidence	chars	psm
1	27.3	3509	
2	29.5	4748	
3	30.4	2055	
4	42.3	595	
5	35.5	415	
6	28.2	5993	
7	27.5	2208	
8	26.6	5989	
9	26.5	419	
10	25.6	1960	
11	28.3	2275	
12	40.8	342	
13	25.6	1757	
14	24.8	3336	
15	27.8	4726	
