page	mean_confidence	chars	psm
1	36.0	438	
2	30.2	897	
3	30.1	1936	
4	32.1	620	
5	27.6	2103	
6	29.0	790	
7	37.7	487	
8	40.8	658	
9	52.2	292	
10	28.7	1877	
11	28.3	2478	
12	28.3	3064	
13	30.0	2261	
14	43.5	536	
15	28.6	1274	
16	31.7	1278	
17	30.0	976	
18	28.1	8091	
19	31.2	872	
20	30.1	1167	
21	37.1	587	
22	39.4	455	
23	34.9	403	
24	26.7	583	
25	36.0	1484	
26	41.2	654	
27	44.9	632	
28	28.6	1585	
29	44.9	417	
30	36.9	442	
