page	mean_confidence	chars	psm
1	91.8	8394	
2	89.8	8109	
3	93.5	6445	
4	92.3	8766	
5	89.7	6923	
6	90.3	7398	
7	33.2	12023	
8	91.2	5732	
9	90.3	10141	
