page	mean_confidence	chars
1	0	0
2	0	0
3	0	172
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	356
10	0	206
11	0	232
12	0	390
13	0	138
14	0	0
15	0	0
