page	mean_confidence	chars
1	0	2291
2	0	1158
3	0	2398
4	0	2370
5	0	1918
6	0	1863
7	0	1608
8	0	1749
9	0	1815
10	0	1886
11	0	1756
12	0	2117
13	0	1699
14	0	197
15	0	1893
16	0	1541
17	0	2279
18	0	2319
19	0	1881
20	0	2104
21	0	2050
22	0	2108
23	0	2369
24	0	1938
25	0	1873
26	0	2015
27	0	2494
28	0	1300
