page	mean_confidence	chars
1	0	657
2	0	460
3	0	0
4	0	483
5	0	174
6	0	399
7	0	183
8	0	420
9	0	340
10	0	0
11	0	218
12	0	201
13	0	213
14	0	355
15	0	184
16	0	250
17	0	455
18	0	733
19	0	203
20	0	206
21	0	445
22	0	469
23	0	418
24	0	320
25	0	0
26	0	289
27	0	330
28	0	159
29	0	546
30	0	497
