id	year	authors	title	n_documents	documents
WC0145	1992	A. Visser	An Inside View of Exp (or The Closed Fragment of The Provability Logic I∆0 +Ω1 With a Propositional Constant for Exp)	6	Willard2002c; Willard2004; Willard2006a; Willard2007-APAL; Willard2009; Willard2011
WC0146	1993	A. Visser	The Unprovability of Small Inconsistency	7	Willard2004; Willard2005-TAB; Willard2006-WoLLIC; Willard2006a; Willard2007-APAL; Willard2009; Willard2011
WC0147	2005	A. Visser	Faith and Falsity	13	Willard2004; Willard2005-TAB; Willard2006-WoLLIC; Willard2006a; Willard2007-APAL; Willard2009; Willard2011; Willard2013; Willard2014; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0148	1973	P. VOP	ĚNKA and P. H ÁJEK, Existence of a generalized semantic model of Gödel-Bernays set theory	1	Willard2005
WC0149	1973	P. Vopěnka and P. Hájek	Existence of a Generalized Semantic Model of Gödel-Bernays Set Theory	5	Willard2004; Willard2005-TAB; Willard2006a; Willard2009; Willard2011
WC0150	1987	A. J. WILKIE and J. B. PARIS	On the scheme of induction for bounded arithmetic	19	Willard2000-TAB; Willard2001; Willard2002a; Willard2002c; Willard2004; Willard2005; Willard2005-TAB; Willard2006-WoLLIC; Willard2006a; Willard2007-APAL; Willard2007-KGS6; Willard2009; Willard2011; Willard2013; Willard2014; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0151	1978	C. WRATHALL	Rudimentary predicates and relative computation, Siam Journal on Computing	9	Willard2000-TAB; Willard2001; Willard2002a; Willard2005; Willard2005-TAB; Willard2006a; Willard2009; Willard2011; Willard2016
WC0152	2005	P. Yourgrau, A World Without Time	Breaking Point	1	Willard2016
WC0153	2005	Yourgrau, P.	A World Without Time: The Forgotten Legacy of Gödel and Einstein. (See page 58 for the passages we have quoted.) Basic Books ( 2005)	5	Willard2007-KGS6; Willard2014; Willard2018; Willard2020; Willard2020-LFCS
WC0154	1955	M. H. Lo	̈b, A Solution to a Problem by Leon Henkin	10	Willard1993; Willard2001; Willard2005; Willard2006-WoLLIC; Willard2007-APAL; Willard2009; Willard2011; Willard2013; Willard2014; Willard2016
WC0155	2001	H. B	Enderton, A Mathematical Introduction to Logic	1	Willard2016
WC0156	2007	V. S	An Interpretation of Robinson Arithmetic in its Grzegorczjk’s Weaker Variant	7	Willard2011; Willard2013; Willard2014; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0157	2011	H. B	Enderton, Mathematical Introduction Logic	1	Willard2018
